id	variety	type
1	Коричневая	gbs
2	Bhotamas	gbs
3	без названия	gbs
4	без названия	gbs
5	без названия	gbs
6	Амурская желтая 42	wgs
7	Амурская бурая 51	wgs
8	Уссурийская 332	wgs
9	Уссурийская 43	wgs
10	Уссурийская 511	wgs
11	Уссурийская 575	wgs
12	Рудои	gbs
13	Чиатурская (местная)	gbs
14	Lindarin	gbs
15	Tiara	gbs
16	AM 504	gbs
17	Грузинская 7	gbs
18	Progres	gbs
19	Ford	gbs
20	Sprite	gbs
21	Диамонд	gbs
22	Бук ге	gbs
23	NS-L 1009	gbs
24	NS-L 2021	gbs
25	УСХИ-6	wgs
26	Светлая	wgs
27	Дариали	gbs
28	Owonchoseng ji doo	gbs
29	Varsovie	gbs
30	Da-huang-qi	gbs
31	Jilin N 19	gbs
32	Wase 12	gbs
33	Yamajirushi (China)	gbs
34	Heinong 27	gbs
35	Мадева	gbs
36	Ланцетная	wgs
37	Ника	gbs
38	Китайская узколистная	gbs
39	HM 648 (Rita)	gbs
40	Milvus	gbs
42	Малета	gbs
43	Карамановка	gbs
44	Дун-нун 36	wgs
45	Чера 1	wgs
46	Korona szoja	gbs
47	Вецауцес бруне	gbs
48	Золотиста	gbs
49	Мерлин	gbs
50	Balkan	gbs
51	Величава	gbs
52	Клондайк	gbs
53	Альбiна	gbs
54	Гунь-чжу-линь 091	gbs
55	Грация	wgs
56	Лазурная	gbs
57	1312-17-2	gbs
58	1312-17-3	gbs
59	Cordoba	gbs
60	Белгородская 6	wgs
61	Белгородская 7	wgs
62	Белгородская 8	gbs
63	Клавера	gbs
64	Амелина	gbs
65	Алина	gbs
67	Жалпаксай	gbs
68	Жансая	gbs
69	Ласточка	gbs
70	Надежда	gbs
71	Перизат	gbs
72	Сфера	gbs
73	Эврика	gbs
74	Даная	gbs
75	Данко	gbs
76	Шарм	gbs
77	Бiлявка	gbs
78	Заряница	gbs
79	Ras 20	gbs
80	Vilnensis	gbs
81	Ogemaw	gbs
82	Bohemians	gbs
83	Brunensis	gbs
84	Moravians	gbs
85	Silesia	gbs
86	Соер 6	gbs
87	Соер 7	gbs
88	Алена	gbs
